RUC;RAZON_SOCIAL;TERCEROS;COD_CIIU;ZONA;PAIS;SEGMENTO;RUBRO
6735501;DIPREM PERU S.A.C.;INTELIBPO;7357;LIMA;PERU;ACTIVIDADES PROFESIONALES CIENT?FICAS Y T?CNICAS;ACTIVIDADES DE ARQUITECTURA E INGENIER?A Y ACTIVIDADES CONEXAS DE CONSULTOR?A T?CNICA
6705257;EMPRESA DE SERVICIOS EDUCATIVOS TECNOLOGICOS Y DE PUBLICIDAD CONSULTORA REPENSAR EDUCATIVO E.I.R.L.;INTELIBPO;7370;LIMA;PERU;ENSE?ANZA;OTROS TIPOS DE ENSE?ANZA NCP
9610852;OPTIMMA CORP S.A.C.;INTELIBPO;3907;LIMA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;OTRAS ACTIVIDADES DE VENTA AL POR MENOR EN COMERCIOS NO ESPECIALIZADOS
3345631;GARAGE TALLERES PERU EIRL;INTELIBPO;9832;LIMA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTAS DE PARTES PIEZAS Y ACCESORIOS PARA VEH?CULOS AUTOMOTORES
3243012;CONECTA ASESORIA SAC;INTELIBPO;8647;AREQUIPA;PERU;ACTIVIDADES PROFESIONALES CIENT?FICAS Y T?CNICAS;ACTIVIDADES DE CONSULTOR?A DE GESTI?N
3431778;MAR Y GEA SERVICE EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;INTELIBPO;2119;MOQUEGUA;PERU;INDUSTRIAS MANUFACTURERAS;ELABORACI?N Y CONSERVACI?N DE PESCADOS CRUST?CEOS Y MOLUSCOS
7137431;CARRDANI S.A.C.;INTELIBPO;4206;LIMA;PERU;INDUSTRIAS MANUFACTURERAS;FABRICACI?N DE OTROS PRODUCTOS ELABORADOS DE METAL NCP
8315392;SIEVERT PERU E.I.R.L.;INTELIBPO;3865;LIMA;PERU;OTRAS ACTIVIDADES DE SERVICIOS;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES NCP
3298799;KRUPXEN E.I.R.L.;INTELIBPO;6483;LIMA;PERU;INDUSTRIAS MANUFACTURERAS;FABRICACI?N DE PRODUCTOS FARMAC?UTICOS SUSTANCIAS QU?MICAS MEDICINALES Y PRODUCTOS BOT?NICOS DE USO FARMAC?UTICO
7522123;SECUTRONIC DEL PERU E.I.R.L.;INTELIBPO;8942;LIMA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE ORDENADORES EQUIPO PERIF?RICO Y PROGRAMAS DE INFORM?TICA
9615311;CANCHARI VALLE REYNA JACINTA;INTELIBPO;4333;HUANUCO;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MENOR DE PRODUCTOS FARMAC?UTICOS Y MEDICINALES COSM?TICOS Y ART?CULOS DE TOCADOR EN COMERCIOS ESPECIALIZADOS
6369065;ELECSERTEC SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA;INTELIBPO;4568;TACNA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE EQUIPO PARTES Y PIEZAS ELECTR?NICOS Y DE TELECOMUNICACIONES
9179152;IRON BEEZZ S.A.C.;INTELIBPO;7592;LIMA;PERU;AGRICULTURA GANADERIA SILVICULTURA Y PESCA;ACTIVIDADES DE APOYO A LA AGRICULTURA
4688154;INTEGRAL MEDICAL CARE S.A.C.;INTELIBPO;2710;LIMA;PERU;ACTIVIDADES DE ATENCI?N DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL;OTRAS ACTIVIDADES DE ATENCI?N DE LA SALUD HUMANA
6593905;CORPORACION SANCHEZ & SUAREZ S.A.C;INTELIBPO;9018;LA LIBERTAD;PERU;ACTIVIDADES DE SERVICIOS ADMINISTRATIVAS Y DE APOYO;ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA EQUIPO Y BIENES TANGIBLES
4769093;NAPURI REJAS FERNANDO ISIDORO;INTELIBPO;3722;ICA;PERU;ACTIVIDADES PROFESIONALES CIENT?FICAS Y T?CNICAS;ENSAYOS Y AN?LISIS T?CNICOS
6966659;MAHIBE PROYECTA S.A.C.;INTELIBPO;9708;LIMA;PERU;INDUSTRIAS MANUFACTURERAS;FABRICACI?N DE PARTES Y PIEZAS DE CARPINTER?A PARA EDIFICIOS Y CONSTRUCCIONES
6890408;ANBELLI S.A.C.;INTELIBPO;3383;LIMA;PERU;INDUSTRIAS MANUFACTURERAS;ELABORACI?N DE PRODUCTOS DE PANADER?A
3369443;RACE EXPRESS S.A.C. OPERADOR LOGISTICO;INTELIBPO;5055;CALLAO;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO
3891407;PERZYA CONTRATISTAS GENERALES S.A.C.;INTELIBPO;3388;LIMA;PERU;INDUSTRIAS MANUFACTURERAS;REPARACI?N DE OTROS TIPOS DE EQUIPO
3468627;BOTICAS MATYFARMA E.I.R.L.;INTELIBPO;2984;LIMA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MENOR DE PRODUCTOS FARMAC?UTICOS Y MEDICINALES COSM?TICOS Y ART?CULOS DE TOCADOR EN COMERCIOS ESPECIALIZADOS
4912993;SIMIE S.A.C.;INTELIBPO;2500;LIMA;PERU;CONSTRUCCI?N;INSTALACIONES EL?CTRICAS
9950610;YSABEL QUISPE ROCA;INTELIBPO;3392;CUSCO;PERU;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE DE CARGA POR CARRETERA
7268003;DIAMOND DENT S.A.C.;INTELIBPO;7011;LIMA;PERU;ACTIVIDADES DE ATENCI?N DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL;ACTIVIDADES DE MEDICOS Y ODONTOLOGOS
5175449;INVERSIONES MELARC S.A.C.;INTELIBPO;8925;LIMA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCI?N ART?CULOS DE FERRETER?A Y EQUIPO Y MATERIALES DE FONTANER?A Y CALEFACCI?N
3654568;WAKICHI SOLUCIONES S.A.C.;INTELIBPO;8661;AREQUIPA;PERU;INFORMACI?N Y COMUNICACIONES;PROGRAMACI?N INFORM?TICA
7526116;VIMEN CONTRATISTAS S.R.L.;INTELIBPO;4989;AMAZONAS;PERU;CONSTRUCCI?N;CONSTRUCCI?N DE EDIFICIOS
5231737;SERVICIO NAVALES A  Y  D S.A.C.;INTELIBPO;3662;ANCASH;PERU;INDUSTRIAS MANUFACTURERAS;CONSTRUCCI?N DE BUQUES Y ESTRUCTURAS FLOTANTES
3826175;ENTRE BRASAS DJ S.A.C.;INTELIBPO;4896;LIMA;PERU;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO M?VIL DE COMIDAS
3499399;EDZ SERVICIOS GENERALES S.A.C.;INTELIBPO;7753;LIMA;PERU;ACTIVIDADES DE SERVICIOS ADMINISTRATIVAS Y DE APOYO;ACTIVIDADES DE SEGURIDAD PRIVADA
5774383;CASA ELECTRICA S.A.C;INTELIBPO;3326;LIMA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MENOR DE ART?CULOS DE FERRETER?A PINTURAS Y PRODUCTOS DE VIDRIO EN COMERCIOS ESPECIALIZADOS
9895375;ZMF INVERSIONES E.I.R.L.;INTELIBPO;9229;AREQUIPA;PERU;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE DE CARGA POR CARRETERA
9009537;CIMAD INTERNATIONAL GROUP SOCIEDAD COMERCIAL RESPONSABILIDAD LIMITADA;INTELIBPO;2383;TACNA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR NO ESPECIALIZADA
5475313;BLASON  Y  PAZ ABOGADOS ASOCIADOS ESTUDIO JURIDICO SOCIEDAD ANONIMA CERRADA;INTELIBPO;4046;CUSCO;PERU;ACTIVIDADES PROFESIONALES CIENT?FICAS Y T?CNICAS;ACTIVIDADES JURIDICAS
7515852;CREACIONES FLAVIS S.A.C.;INTELIBPO;3844;LIMA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MENOR DE PRODUCTOS TEXTILES EN COMERCIOS ESPECIALIZADOS
5380444;THEO IMPORT SOCIEDAD ANONIMA CERRADA;INTELIBPO;9008;LIMA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MENOR DE OTROS PRODUCTOS NUEVOS EN COMERCIOS ESPECIALIZADOS
4206245;GEOSOLUCIONES INTEGRALES DE PERFORACION S.A.C.;INTELIBPO;7431;LIMA;PERU;CONSTRUCCI?N;OTRAS ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCI?N
4768683;CODING  Y  PACK SOCIEDAD ANONIMA CERRADA;INTELIBPO;5164;LIMA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO
6310688;PALACIOS GAMARRA WILBER IGNACIO;INTELIBPO;5215;JUNIN;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MENOR DE COMBUSTIBLES PARA VEH?CULOS AUTOMOTORES EN COMERCIOS ESPECIALIZADOS
9734282;CORPORACION J  Y  Y S.A.C.;INTELIBPO;8457;LIMA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MENOR DE OTROS PRODUCTOS NUEVOS EN COMERCIOS ESPECIALIZADOS
8815031;HOMAK E.I.R.L.;INTELIBPO;8628;LAMBAYEQUE;PERU;ACTIVIDADES PROFESIONALES CIENT?FICAS Y T?CNICAS;ACTIVIDADES DE ARQUITECTURA E INGENIER?A Y ACTIVIDADES CONEXAS DE CONSULTOR?A T?CNICA
5630782;INVERSIONES J & G ALUMINIOS S.A.C.;INTELIBPO;7411;LIMA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MENOR DE ART?CULOS DE FERRETER?A PINTURAS Y PRODUCTOS DE VIDRIO EN COMERCIOS ESPECIALIZADOS
3927470;QUIROZ SUXE KIMBERLY YASMIN;INTELIBPO;8437;LAMBAYEQUE;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MENOR DE PRODUCTOS FARMAC?UTICOS Y MEDICINALES COSM?TICOS Y ART?CULOS DE TOCADOR EN COMERCIOS ESPECIALIZADOS
9891163;CATERING D FLAVIO S.A.C.;INTELIBPO;8941;LIMA;PERU;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO M?VIL DE COMIDAS
4498255;GENERAL SERVICES CARED EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;INTELIBPO;4078;PIURA;PERU;ACTIVIDADES DE SERVICIOS ADMINISTRATIVAS Y DE APOYO;ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA EQUIPO Y BIENES TANGIBLES
