RUC;RAZON SOCIAL;NAME_SOUND;sadsad
8756145;CORPORACION EDUCATIVA ARQUITECTOS SCHOOL;CORPORACION_EDUCATIVA_ARQUITECTOS_SCHUL;40
7936265;INTEGRALOPERATIONS TRADING BUSSINES GROU;TREIDING_BISNES_GRUP;40
5323142;J Y A PROYECTOS Y SERVICIOS GLOBALIZADOS;JOTA_Y_A_PROYECTOS_Y_SERVICIOS_GLOBALIZADOS;40
9973069;PUICAN ZARPAN DESARROLLADOR INMOBILIARIO;PUICAN_ZARPAN_DESARROLLADOR_INMOBILIARIO;40
6565597;SERVICIOS MEDICOS QUIRURGICOS PEDRO RUIZ;SERVISIOS_MEDIKOS_KIRURJIKOS_PEDRO_RUIS;40
6091135;TRANSPORTES Y SERVICIOS GENERALES CHACON;EMPRESA_DE_TRANSPORTES_I_SERVISIOS_JENERALES_CHACON;40
6572294;TRANSPORTES Y SERVICIOS LOGÍSTICOS J Y M;TRANSPORTES_Y_SERVICIOS_LOGISTICOS_JOTA_Y_EME;40
1773354;ASOCIACION EDUCATIVA SAGRADOS CORAZONES;ASOSIASION_EDUKATIVA_SAGRADOS_KORASONES_DE_JESUS_I_MARIA_FERRE;39
5373292;AXON CENTRO ESPECIALIZADO EN NEUROLOGÍA;AXON_CENTRO_ESPECIALIZADO_EN_NEUROLOGIA;39
8632435;CONSTRUCTORA E INMOBILIARIA CHIRA VERDE;KONSTRUKTORA_E_INMOBILIARIA_CHIRA_BERDE;39
4591707;CONSTRUCTORA INVERSIONES J & M NAZARETH;CONSTRUCTORA_E_INVERSIONES_J_Y_M_NAZARETH;39
5957357;FABRICACION Y SERVICIOS MULTIPLES UCEDA;SERVICIOS_MULTIPLES_UCEDA;39
5261611;FUNDACION COMUNAL SAN MARTIN DE SECHURA;FUNDACION_COMUNAL_SAN_MARTIN_DE_SECHURA;39
4135628;GEOSOLUCIONES INTEGRALES DE PERFORACION;GEOSOLUCIONES_INTEGRALES_DE_PERFORACION;39
2803197;GRUPO DE CONTADORES Y SOCIEDAD AUDITORA;GRUPO_DE_CONTADORES_Y_SOCIEDAD_AUDITORA;39
5427486;INVERSIONES EDUCATIVAS INTERNACIONALES ;INVERSIONES_EDUCATIVAS_INTERNACIONALES;39
2295587;INVERSIONES SERVICIOS Y LOGISTICA MAJES;INVERSIONES_SERVICIOS_Y_LOGISTICA_MAJES_EMPRESA_INDIVIDUAL_DE_RESPONSABILIDAD_LIMITADA;39
6519960;INVERSIONES Y ASOCIACIONES HUANCHAQUITO;INVERSIONES_Y_ASOCIACIONES_HUANCHAQUITO;39
6226847;INVESTIGACION PARA EL DESARROLLO HUMANO;INVESTIGACION_PARA_EL_DESARROLLO_HUMANO;39
9318952;MAQUINARIAS PESADAS Y LIVIANAS TRIPLE A;MAQUINARIAS_PESADAS_Y_LIVIANAS_TRIPLE_A;39
8693357;METRICA DIRECCION INTEGRAL DE PROYECTOS;METRICA_DIRECCION_INTEGRAL_DE_PROYECTOS;39
8632766;MUNICIP PROVINCIAL DE SAN ROMAN JULIACA;MUNICIP_PROVINCIAL_DE_SAN_ROMAN;39
4239839;MUNICIPALIDADCIPALIDAD PROVINCIAL TARMA;MUNISIPALIDAD_PROVINSIAL_TARMA;39
3959887;SUMINISTRO LOGISTICA Y CARGA EL NORTEÑO;SUMINISTRO_LOGISTICA_Y_CARGA_EL_NORTEÑO_ESE_A_CEE;39
8284174;UNIDAD DE GESTION EDUCATIVA LOCAL LAMAS;UNIDAD_DE_GESTION_EDUCATIVA_LOCAL_LAMAS;39
1326509;CENTRO DE ESTIMULACIÓN MI PRIMER LUGAR;CENTRO_DE_ESTIMULACION_MI_PRIMER_LUGAR;38
2988094;COMERCIALIZADORA Y DISTRIBUIDORA ROSAL;COMERCIALIZADORA_Y_DISTRIBUIDORA_ROSAL;38
8248490;CONSORCIO EDUCATIVO MARTIN LUTHER KING;CONSORCIO_EDUCATIVO_MARTIN_LUTHER_KING;38
2827842;CORPORACION FAZZ SOLUCIONES INTEGRALES;CORPORACION_FAZZ_SOLUCIONES_INTEGRALES;38
6949691;DISTRIBUIDORA DROGUERIA ESPIRITU SANTO;DISTRIBUIDORA_Y_DROGUERIA_ESPIRITU_SANTO;38
2584740;ELECTRICIDAD Y CONSTRUCCION EN GENERAL;CONSULTORES_Y_EJECUTORES;38
3368491;EMPRESA DE SERVICIOS GENERALES SANSAJU;EMPRESA_DE_SERVICIOS_GENERALES_SANSAJU;38
5481478;EPM CORPORACION DE SERVICIOS GENERALES;E_PE_EME_CORPORACION_DE_SERVICIOS_GENERALES_ESE_A_CEE;38
7837392;IMPORTADORA SOLUCIONES GENERALES B & V;IMPORTADORA_SOLUCIONES_GENERALES_BE_Y_UVE;38
9782276;INVERSIONES INMOBILIARIAS DON GUILERMO;INVERSIONES_INMOBILIARIAS_DON_GUILLERMO_SCRL;38
4474379;INVERSIONES MULTISERVICIOS J & K PEREZ;INVERSIONES_MULTISERVICIOS_J_Y_K_PEREZ;38
3001021;J & C INGENIERIA Y SERVICIOS GENERALES;JE_I_SE_INJENIERIA_I_SERVISIOS_JENERALES;38
2295899;JCP INGENIEROS CONSULTORIA Y PROYECTOS;JOTA_CE_PE_INGENIEROS_CONSULTORIA_Y_PROYECTOS;38
7348810;MANTENIMIENTO Y CONSULTORÍA INDUSTRIAL;MANTENIMIENTO_Y_CONSULTORIA_INDUSTRIAL;38
6738291;MUNICIPALIDAD DISTRITAL DE HUACHOCOLPA;MUNICIPALIDAD_DISTRITAL_HUACHOCOLPA;38
9038084;RESTAURANT TURISTICO EL HUERTO FLORIDO;RESTAURANT_TURISTICO_EL_HUERTO_FLORIDO_ESE_A_CEE;38
3493825;SERVICIOS GENERALES MURO INTERNATIONAL;SERVICIOS_GENERALES_MURO_INTERNATIONAL;38
8364346;SOLUCIONES Y DISTRIBUCIONES ELECTRICAS;SOLUCIONES_Y_DISTRIBUCIONES_ELECTRICAS;38
1802636;SUMINISTROS INDUSTRIALES Y MAQUINARIAS;SUMINISTROS_INDUSTRIALES_I_MAQUINARIAS;38
8297051;A1 INMOBILIARIA & SERVICIOS GENERALES;A1_INMOBILIARIA_&_SERVICIOS_GENERALES;37
5814572;ARQTIS ARQUITECTURA Y DISEÑO INTERIOR;ARKTIS_ARKITEKTURA_I_DISEÑO_INTERIOR;37
1880895;COMPAÑIA GRAFICA PUBLICITARIA IMPRESS;PUBLICITARIA_IMPRESS;37
5156086;COMPAÑÍA MINERA LA INMACULADA DEL SUR;COMPAÑIA_MINERA_LA_INMACULADA_DEL_SUR;37
1445331;CONSULGAL - CONSULTORES DE INGENIERIA;CONSULGAL_CONSULTORES_DE_ENGENHARIA;37
